,PositionTitle,MinimumRange,MaximumRange,PositionURI
163,Supervisory Accountant,88520.0,115079.0,https://www.usajobs.gov:443/GetJob/ViewDetails/827876200
164,Deputy Assistant Administrator/Deputy Chief Financial Officer,150160.0,216521.0,https://www.usajobs.gov:443/GetJob/ViewDetails/824198700
165,Attorney-Adviser (General),105383.0,137000.0,https://www.usajobs.gov:443/GetJob/ViewDetails/829113700
166,BASE SERVICES SPECIALIST,61070.0,79390.0,https://www.usajobs.gov:443/GetJob/ViewDetails/827570400
167,IT Program Manager (Data Mgt/System Admin),142488.0,185234.0,https://www.usajobs.gov:443/GetJob/ViewDetails/828029500
168,IT Program Manager (Data Mgt/System Admin)),142488.0,185234.0,https://www.usajobs.gov:443/GetJob/ViewDetails/828030500
169,SOCIAL WORKER,96148.0,124988.0,https://www.usajobs.gov:443/GetJob/ViewDetails/826559200
170,EXECUTIVE SUPPORT OFFICER,148658.0,193254.0,https://www.usajobs.gov:443/GetJob/ViewDetails/827954500
171,Budget Officer,105383.0,137000.0,https://www.usajobs.gov:443/GetJob/ViewDetails/829110300
172,SUPERVISORY FINANCIAL SPECIALIST--DIRECT HIRE AUTHORITY,101420.0,143324.0,https://www.usajobs.gov:443/GetJob/ViewDetails/812906400
173,Member Services Manager NF-04,51332.0,56332.0,https://www.usajobs.gov:443/GetJob/ViewDetails/827200500
174,COMPTROLLER CHIEF FINANCIAL OFFICER,151322.0,207500.0,https://www.usajobs.gov:443/GetJob/ViewDetails/827464200
